meter,m,upright("м"),true
metre,m,upright("м"),true
lightyear,ly,upright("св.год."),true
parsec,pc,upright("пк"),true
astronomicalunit,au,upright("а.е."),true
angstrom,A,upright("Å"),true
hectar,ha,upright("га"),true
litre,l,upright("л"),true
liter,L,upright("Л"),true
second,s,upright("с"),true
minute,min,upright("мин"),true
hour,h,upright("ч"),true
day,d,upright("сут"),true
year,a,upright("год"),true
year,yr,upright("год"),true
hertz,Hz,upright("Гц"),true
gram,g,upright("г"),true
ton,t,upright("т"),true
tonne,t,upright("т"),true
newton,N,upright("Н"),true
pascal,Pa,upright("Па"),true
atmosphere,atm,upright("атм"),true
bar,bar,upright("бар"),true
joule,J,upright("Дж"),true
erg,erg,upright("эрг"),true
electronvolt,eV,upright("еВ"),true
watt,W,upright("Вт"),true
ampere,A,upright("А"),true
volt,V,upright("В"),true
ohm,O,upright("Ом"),true
siemens,S,upright("См"),true
tesla,T,upright("Тл"),true
gauss,G,upright("Гс"),true
henry,H,upright("Гн"),true
farad,F,upright("Ф"),true
kelvin,K,upright("K"),true
celsius,dC,degree.c,true
fahrenheit,dF,degree.f,true
candela,cd,upright("кд"),true
lumen,lm,upright("лм"),true
lux,lx,upright("лк"),true
degree,d,degree,false
radian,r,upright("рад"),true
arcminute,',',false
arcsecond,\",″,false
mole,mol,upright("моль"),true
becquerel,Bq,upright("Бк"),true
gray,Gy,upright("Гр"),true
sievert,Sv,upright("Зв"),true
percent,%,percent,true
decibel,dB,upright("дБ"),true
neper,Np,upright("Нп"),true
coulomb,C,upright("Кл"),true
